"","x.ph","x.N","x.P","x.K","x.depth","x.temp","x.rain","x.plant"
"229",6.3,20,81,51,23.94,35.1,893.34,1
"230",6.8,40,42,8,54.63,26.7,1161.02,1
"231",7.8,163,56,90,53.53,34.3,659.37,2
"232",7.9,39,56,119,57.68,25.7,1098.89,1
"233",7.2,149,67,119,24.22,31.2,674.02,0
"234",7.5,48,24,17,34.97,35.3,597.15,2
"235",7.5,63,90,67,34.78,18.9,847.22,2
"236",7.3,77,76,95,32.54,29.9,601.83,2
"237",8.1,85,91,0,27.72,32.7,668.8,2
"238",6.9,171,74,101,29.17,36.5,774.1,0
"239",8.4,135,108,12,51.02,30.1,1152.65,0
"240",6.7,46,53,108,55.96,21.9,998.19,1
"241",6.9,75,72,14,39.34,24.2,1054.62,0
"242",7.3,112,89,76,15.81,16.9,710.41,1
"243",8.2,94,102,63,27.59,20.7,688.53,2
"244",7.4,86,22,37,19.58,25.7,741.34,1
"245",7.9,81,115,1,15.4,34.4,621.37,2
"246",8.3,170,97,93,17.07,22,962.92,0
"247",6.5,82,62,86,48.38,39.2,1087.67,0
"248",7.3,49,24,30,29.77,24,579.11,2
"249",8.4,129,115,47,56.8,23.6,792.45,0
"250",8.8,75,102,97,31.17,26.3,684,2
"251",8.5,86,39,41,20.68,19.1,562.03,2
"252",8.2,32,41,25,30.69,16.1,600.33,2
"253",6.9,144,52,2,56.2,37.7,681.57,2
"254",6.8,143,82,44,15.56,19.3,570.25,1
"255",8.5,82,51,116,34.77,36.8,734.3,0
"256",7.3,51,118,90,59.57,32.5,929.63,0
"257",8.4,83,110,77,16.63,27.3,972.34,2
"258",8.5,116,107,14,55.1,28.3,583.24,2
"259",7.6,177,44,62,36.28,33.8,727.47,0
"260",7.4,79,32,62,33.47,23.5,1123.12,2
"261",7.2,27,21,56,42.63,28,813.35,0
"262",7.9,165,22,0,23.01,39.8,945.63,2
"263",7,111,71,37,51.1,35.9,1121.17,1
"264",7.8,35,114,20,16.23,31.9,1075.57,1
"265",7.1,29,59,85,48.91,20.2,644.48,0
"266",8.4,107,84,111,31.17,30.2,1161.89,2
"267",7.3,83,67,8,41.95,23,647.34,2
"268",8.1,28,91,22,24.81,22.5,542.12,2
"269",7.8,154,54,119,35.33,24.6,1039.45,0
"270",6.4,135,116,21,52.1,36.7,726.04,1
"271",6.6,28,57,102,22.21,25.8,717.88,0
"272",8.6,101,48,83,26.3,37.6,919.27,2
"273",8.5,81,78,107,35.56,39.2,1189.77,0
"274",6.6,31,88,50,25.5,24.4,642.48,1
"275",7.8,34,86,39,51.65,27.2,854.58,1
"276",6.4,145,74,85,57.05,30.9,1042.8,1
"277",6.4,82,95,29,33.55,32.7,839.73,0
"278",8.7,36,116,97,46.5,31.7,625.18,2
"279",6.4,74,51,74,35.51,18.2,874.2,0
"280",6.8,61,59,40,32.85,38.8,1027.42,1
"281",7.1,58,60,107,27,28.7,1017.86,0
"282",6.6,178,81,45,35.17,38.1,1045.43,1
"283",8.8,78,22,86,46.2,23,723.03,2
"284",7.6,125,50,119,42.83,25.4,710.14,2
"285",6.4,53,68,90,58.81,19.8,802.67,0
"286",8.7,125,51,37,46.15,32,925.69,1
"287",7.9,65,103,27,19.15,38,522.14,2
"288",6.9,35,51,40,51.01,27.8,982.06,1
"289",6.8,131,70,91,41.47,39.5,844.67,0
"290",8.7,94,22,16,56.79,30.7,615.45,2
"291",8.2,109,85,0,54.86,21,804.2,2
"292",6,64,63,56,28.14,36.9,782.96,2
"293",7.1,29,26,108,49.01,29,920.09,0
"294",7,125,115,22,43.2,27.3,1150.24,0
"295",8.8,86,113,55,16.9,31.8,962.7,2
"296",8.9,175,83,97,57.57,29,1122.92,1
"297",8.8,70,95,116,50.07,29.5,1125.98,0
"298",6.2,130,40,47,38.86,28.2,1030.69,1
"299",8.6,121,81,78,42.88,33.2,925.22,0
"300",8.2,124,111,28,39.46,19.2,565.26,2
"301",8.4,59,58,72,59.08,39.9,605.87,2
"302",8.5,135,113,21,53.1,24.2,803.22,1
"303",8.5,47,53,59,16.09,29.1,688.55,1
"304",6.4,103,20,44,32.32,36.8,826.09,2
"305",8.8,65,79,39,44.31,35.2,564.58,2
"306",8.9,81,49,55,30.8,38.9,999.98,2
"307",6.8,163,86,63,52.76,28.8,1138.81,1
"308",7.4,161,83,16,30.04,29,598.27,2
"309",6.9,86,94,95,48.8,21.3,952.71,0
"310",6.2,65,38,74,53.09,25.7,1052.33,1
"311",6.3,136,97,23,57.22,23.3,1086.59,0
"312",6.7,138,65,118,21.64,15.3,1198.2,0
"313",6,108,41,112,36.85,15.4,873.97,0
"314",6.5,160,55,99,37.81,37.4,986.7,0
"315",6.4,149,48,12,46.97,34.3,949.86,0
"316",7,137,50,111,59.16,37.2,876.03,1
"317",6.6,168,80,68,52.22,30.4,801.03,1
"318",6.8,144,83,82,32.62,36.8,1071.49,0
"319",6.3,34,50,21,27.18,27.4,986.22,1
"320",6.8,169,86,59,19.69,22.5,850.43,1
"321",7.9,165,81,110,19.71,24.7,764.83,0
"322",7.5,98,63,48,30.81,22.9,1170.37,2
"323",6.7,76,46,73,38.39,26.1,760.73,0
"324",7.4,84,96,52,58.53,25.1,996.66,1
"325",6.6,137,35,100,35.1,24.6,820.64,0
"326",8.6,104,34,48,40.85,37.8,501.34,2
"327",8.7,112,29,52,56.5,38.7,803.31,2
"328",6.6,51,39,113,34.31,15.4,849.36,2
"329",8.2,135,105,95,50.42,35.7,889.56,0
"330",6.8,79,42,106,36.11,17.7,1108.25,2
"331",8.5,123,89,89,35.23,23.8,815.83,0
"332",8.7,136,112,43,38.83,15.1,516.11,2
"333",6.2,33,114,67,15.3,25.5,914.08,1
"334",6.2,116,81,47,25.15,39.8,684.82,2
"335",8.1,133,61,112,25.85,28.3,873.62,0
"336",7.5,84,81,16,21.54,38.5,982.11,2
"337",8,144,26,44,55.39,28.1,1036.69,2
"338",6.3,123,97,103,30.46,35.6,1067.83,0
"339",6.9,151,36,45,39.65,27.5,1199.22,0
"340",7.6,110,29,108,59.16,20,743.08,2
"341",7.3,87,90,119,40.36,32.6,1167.94,0
"342",8.9,98,96,58,34.52,25.3,958.79,2
"343",6.7,162,113,26,15.2,19.6,1197.1,0
"344",6.4,131,52,35,42.32,18.6,678.51,2
"345",8,148,59,27,20.28,15.3,1010.35,0
"346",8.9,86,59,73,28.63,38.2,777.67,2
"347",7.4,172,31,50,35.15,38.3,659.38,0
"348",7.4,179,109,89,19.2,23.4,940.22,0
"349",8.7,163,52,40,29.28,24.7,991.56,0
"350",6.3,103,86,86,34.51,28.2,874.95,2
"351",7.6,106,89,68,26.2,25.6,1172.73,2
"352",8.8,72,27,22,18.3,16.6,1042.4,2
"353",7.5,63,86,81,57.62,19.7,1144.49,2
"354",8.1,170,92,29,35.16,30.4,1028.26,2
"355",8.1,171,100,93,28.68,18,890.52,0
"356",7.6,166,118,104,32.11,18.3,1097.56,0
"357",7.7,133,106,2,19.63,17.5,541.22,2
"358",8.3,126,115,61,22.34,33.4,807.29,2
"359",6.8,136,86,7,23.01,18.5,791.61,0
"360",7,115,50,5,43.45,35,853.39,2
"361",6.3,61,93,10,45.7,35.1,1010.31,0
"362",6.2,21,49,11,32.26,33.1,779.6,1
"363",6.3,50,38,86,16.06,16.3,890.9,0
"364",7.1,67,56,26,58.36,28.3,620.94,1
"365",6.9,150,40,64,45.98,33.7,911.55,0
"366",6.2,90,34,114,44.7,19.9,546.4,2
"367",7.8,169,98,1,16.23,33.7,1091.13,0
"368",7.1,172,89,73,15,33,783.18,1
"369",7.2,151,48,104,21.66,26.2,1035.65,0
"370",8.4,30,67,117,22.63,24.9,588.48,2
"371",8,97,105,70,49.18,17.2,1033.77,0
"372",8.4,117,36,61,18.2,31.7,790.92,1
"373",7.2,139,20,96,49.88,15.2,997.35,0
"374",7.9,101,93,117,19.99,28.2,756.17,2
"375",8.9,164,114,25,30.98,22.1,860.39,0
"376",8.7,39,72,112,27.12,19.5,804.87,1
"377",7.5,41,56,93,32.64,27.5,1103.08,0
"378",7.2,102,42,62,54.51,25.2,684.69,1
"379",7.4,149,53,62,36.49,26.7,1092.31,0
"380",7.3,179,56,87,17.8,27.1,1196.06,1
"381",8.1,176,62,61,52.05,39.9,816.69,1
"382",7.4,177,77,42,45.68,17,561.83,2
"383",7.5,109,36,106,48.01,37.2,572.15,2
"384",8.1,126,41,56,53.79,21.3,880.67,1
"385",6.1,139,57,84,59.15,33.1,931.48,0
"386",8,162,46,43,21.89,29.2,877.33,1
"387",8.8,59,105,28,21.34,28.8,580.94,2
"388",7,178,75,95,24.47,21.7,1057.74,0
"389",6.4,27,60,95,17.17,20.9,1123.17,1
"390",8,77,105,109,59.74,19.8,724.6,2
"391",6.1,99,23,78,55.27,39.2,575.17,2
"392",6.3,20,95,43,54.92,24.1,880.35,1
"393",8,163,28,12,18.63,38.1,928.81,2
"394",7.1,122,37,77,52.19,23,566.45,1
"395",7.4,62,61,80,36.95,28.8,745.75,0
"396",8.8,157,99,108,36.64,27.4,1089.87,0
"397",7.3,152,91,66,16.45,30.3,796.4,0
"398",6.9,68,75,67,16.65,21.6,536.86,1
"399",7.1,87,37,43,26.4,32.3,517.69,2
"400",6.8,106,79,97,56.96,18.3,806.77,1
"401",7.8,54,105,65,35.42,21.3,715.38,0
"402",8.5,20,55,73,18.28,17.8,787.4,1
"403",6.8,177,101,20,41.65,30,738.72,0
"404",7.9,121,62,88,49.63,32.2,524.64,2
"405",7.7,115,74,66,33.41,36.4,833.98,2
"406",7.1,142,62,111,29.41,28,594.1,0
"407",7.4,71,110,22,33.61,21.3,918.39,0
"408",8.8,177,20,19,49,27.3,887.06,2
"409",8.5,167,44,6,29.48,30.3,842.1,0
"410",7.2,156,86,82,16.88,33.4,988.72,1
"411",8.1,158,50,86,21.73,16.3,620.8,0
"412",9,60,27,116,15.95,20.6,562.23,2
"413",7.7,101,92,21,30.29,24.7,950.04,0
"414",7.8,29,25,28,46.69,16.4,508.92,2
"415",9,72,115,20,45.71,31.9,1094.37,0
"416",7.7,47,84,115,52.61,34.1,670.27,1
"417",6.3,164,77,56,24.34,31.5,635.11,0
"418",8.1,68,86,35,55.43,32,1181.66,1
"419",8.1,137,79,78,55.4,17.9,1184.23,1
"420",6.5,89,59,1,25.66,39,512.7,2
"421",8.4,168,66,0,45.3,20.5,1188.39,0
"422",6.5,62,35,48,40.97,35.1,784.44,1
"423",7.1,134,110,86,18.97,23.8,911.91,0
"424",8.7,41,28,74,18.58,37.2,591.52,2
"425",8.6,61,31,30,31.62,35.4,1008.46,2
"426",7.8,142,88,35,31.7,35.6,1116.69,1
"427",7.9,71,61,42,34.42,20.7,863.7,2
"428",9,58,27,4,20.58,32.5,603.97,2
"429",8.9,107,98,36,28.21,36.9,857.19,0
"430",8.3,86,21,109,45.73,22.5,902.21,2
"431",7.1,114,26,83,51.43,21,985.72,0
"432",6.4,121,108,100,41.04,35.8,921.55,0
"433",6.8,179,22,84,18.44,15.5,529.21,0
"434",8.9,39,48,80,32.25,20.7,509.23,2
"435",8.7,163,91,16,16.95,19.6,1114.37,0
"436",7.6,162,46,113,35.34,36.4,631.57,2
"437",8.1,48,25,16,35.97,24.1,668.42,2
"438",8.6,66,100,29,46.52,39.2,771.93,2
"439",7,80,97,24,52.87,30.6,551.34,2
"440",6.9,116,117,68,52.34,39,676.01,2
"441",7.7,65,46,112,30.16,16.1,1069.33,0
"442",6.7,146,96,95,41.3,34.3,1023.01,0
"443",7.9,44,47,15,35.6,27.6,889.56,1
"444",7,100,104,39,32.71,23.7,539.12,2
"445",8.9,69,34,96,20.74,35.7,628.98,2
"446",7.5,123,95,116,36.42,32.9,668.81,2
"447",6.7,146,32,87,50.38,27.5,591.92,0
"448",6.5,116,65,76,47.81,39.8,1025.98,1
"449",6.6,87,109,110,17.88,31.4,888.35,0
"450",6.7,109,35,14,55.19,25.3,845.14,1
"451",8.6,151,93,106,59.33,30.4,626.97,0
"452",8.2,85,38,112,33.45,33.9,681.12,2
"453",6.2,75,29,28,47.39,28.5,1150.54,0
"454",7.5,35,76,49,22.95,33.2,1132.62,1
"455",8,97,96,114,59.66,15.9,1012.41,0
"456",8.1,44,71,1,51.07,33.2,731.5,1
"457",8.5,111,21,76,26.29,20,628.37,2
"458",7.7,57,106,22,31.13,16.5,883.12,2
"459",8.5,73,84,39,56.46,26.4,630.32,2
"460",6.3,97,103,109,25.36,33.4,1064.95,0
"461",6.3,94,105,49,47.47,36.7,818.59,0
"462",8.9,58,60,65,51.08,29,750.68,1
"463",7.9,87,29,51,34.25,18.2,630.2,2
"464",8.9,168,81,105,16.09,24.5,969.18,1
"465",8.5,149,110,111,39.69,28.7,960.72,0
"466",7.8,122,42,19,51.3,18.8,1061.2,1
"467",8.5,118,88,88,44.44,28.6,912.25,0
"468",6.8,68,98,42,22.05,25,1160.1,2
"469",6.2,53,55,38,35.49,39.3,1039.13,0
"470",8.1,57,87,0,28.52,28.6,816.22,2
"471",6.6,53,99,20,57.37,27.7,689.6,2
"472",8.8,173,97,1,29.84,32.9,757.45,2
"473",6.1,53,90,7,47.41,29.1,740.95,0
"474",7.2,64,80,86,55.55,28.1,742.5,1
"475",6,143,114,43,29.73,19.4,780.93,0
"476",6.8,165,36,91,53.63,27.5,527.59,0
"477",6.5,146,58,111,53.48,35.4,502.28,0
"478",7,84,72,68,44.62,22.4,922.49,1
"479",7.4,115,53,57,43.71,24.6,573.75,2
"480",8.7,43,49,42,47.3,31.1,785.66,1
"481",7.7,143,68,80,23.62,17.7,801.48,0
"482",7.1,129,76,29,49.88,19.5,725.06,1
"483",7.1,123,51,103,50.49,27.6,622.51,0
"484",8.3,126,42,91,34.12,20,1010.31,2
"485",6.7,100,109,112,37.57,28.3,854.92,0
"486",6.8,160,87,26,57.7,25.9,1022.87,1
"487",7.2,161,20,99,25.85,15.7,738.67,0
"488",6.8,23,76,30,41.93,26.9,657.21,1
"489",6.4,94,24,10,55.5,37.9,810.56,2
"490",6.4,36,86,54,54.59,26.4,1068,1
"491",6.6,85,41,33,43.2,25.8,905.29,0
"492",7.7,123,70,69,29.15,28.7,772.57,1
"493",7.3,52,55,83,33.27,37,768.56,0
"494",6.7,47,23,87,43.76,29.8,1078.75,2
"495",6.5,67,65,78,15.72,27.6,1124.92,1
"496",8.6,90,37,107,15.41,26.8,655.63,2
"497",6,174,32,98,23.97,37.9,920.17,0
"498",7.4,175,111,9,17.58,24.2,812.24,0
"499",7.6,149,24,110,44.96,38.5,785.2,0
"500",7.3,71,62,32,24.96,23.6,1037.67,1
"501",7.2,178,42,82,22.45,30.2,926.29,0
"502",8.7,72,48,15,37.65,24.5,1016.7,2
"503",8.6,124,66,6,35.5,18.3,614.9,2
"504",8.4,20,116,28,52.08,25.5,826.85,1
"505",7.8,155,46,26,33.95,38.8,741.29,0
"506",8.8,22,44,79,40.17,30.5,500.92,2
"507",6.4,141,101,66,30.27,31.7,1145.41,0
"508",8.5,107,98,65,41.57,30.6,1178.16,2
"509",6.6,153,60,95,50.05,34,974.9,0
"510",8.8,21,22,84,51.48,17,1025.98,1
"511",7.9,44,66,86,24.7,16.4,834.39,0
"512",8.1,67,43,13,59.14,22.9,668.49,2
"513",8.3,178,51,72,46.6,24.6,1051.93,0
"514",9,148,84,118,23.06,32.7,1062.94,2
"515",6.7,78,39,82,45.28,17.7,1168.03,0
"516",8.5,156,107,71,56.53,20.2,1132.39,1
"517",6.9,42,39,47,15.14,39.6,1147.28,1
"518",7.8,40,87,97,34.11,19,537.15,2
